References
,"Schmidt-Kloiber, A. & Hering, D.",2015,"www.freshwaterecology.info - an online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators 53: 271-282. doi: 10.1016/j.ecolind.2015.02.007"
,"Schmidt-Kloiber, A. & Hering, D. (eds.)",2024,"www.freshwaterecology.info - the taxa and autecology database for freshwater organisms, version 8.0 (accessed on 09.06.2024)."

"Ecological parameter:","temperature preference (KLIWA)","","",
"Taxagroup: ","Bivalvia","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Ephemeroptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Heteroptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Odonata","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Plecoptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Trichoptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."


Taxagroup,Family,Subfamily,Taxon,temperature preference (KLIWA),,,
"Taxagroup","Family","Subfamily","Taxon","focus temp","specificity","Ref"
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Trithemis annulata","","",""
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Trithemis arteriosa","","",""
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Trithemis festiva","","",""
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Trithemis kirbyi","","",""
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Urothemis edwardsii","","",""
"Odonata","LIBELLULIDAE","[Fam:LIBELLULIDAE]","Zygonyx torridus","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis acutipennis","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis acutipennis/latipes","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis dealbata","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis kervillei","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis latipes","","",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis pennipes","18.33","1.712",""
"Odonata","PLATYCNEMIDIDAE","[Fam:PLATYCNEMIDIDAE]","Platycnemis subdilatata","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia arensi","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia atra","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia nigra","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia pygmaea","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia vidua collarti","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia vidua rilensis","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia vidua vidua","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnia zaicevi","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura aptera","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura balkanica balkanica","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura balkanica macedonica","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura brachyptera","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura caucasica","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura gelesae","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura libera","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura mitis","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura narcea","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura nemuroides","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura petitpierreae","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura petricola","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnioneura valandovi","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnopsis schilleri balcanica","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Capnopsis schilleri schilleri","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Mesocapnia variabilis","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Zwicknia acuta","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Zwicknia bifrons","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Zwicknia sevanica","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Zwicknia sp.","","",""
"Plecoptera","CAPNIIDAE","[Fam:CAPNIIDAE]","Zwicknia tuberculata","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla acuta","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla brachyptera","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla breviata","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla kisi","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla kosarovi","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla nevada","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla russevi","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla susemicheli","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla tripunctata","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Chloroperla zhiltzovae","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Isoptena serricornis","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Plesioperla sakartvella","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Pontoperla katherinae","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Pontoperla teberdinica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla baetica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla burmeisteri","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla graeca","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla hajastanica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla lepineyi","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla libanica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla montana","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla neglecta","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla ottomoogi","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla taurica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla torrentium torrentium","13.68","4.591",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Siphonoperla torrentium transsylvanica","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Xanthoperla apicalis","","",""
"Plecoptera","CHLOROPERLIDAE","[Fam:CHLOROPERLIDAE]","Xanthoperla yerkoyi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra aculeata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra aegaeica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra albida","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra alosi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra alpina","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra alticola","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra ameliae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra anatolica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra andalusiaca","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra annae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra antalyana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra apenninicola","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra aptera","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra archimedis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra ariega","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra armata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra artvinensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra aspoeckorum","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra astridae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra auberti","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra auriensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra aurita","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra autumnalis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra balcanica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra balearica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra berthelemyi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra besucheti","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra bidula","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra boluensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra boreoni","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra bozi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra brachyptera","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra braueri","13.84","4.484",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra brevipennis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra bronislawi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra budtzi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra canavensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra candiae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra caprai","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra carpathica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra castillana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cazorlana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cingulata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra clerguae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra collaris","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra concii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra costai","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cretica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra crimeana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cypria","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cyrnea cyrnea","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra cyrnea incudensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra dalmoni","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra delamellata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra despaxi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra digitata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra dispinata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra dissimilis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra dolasilla","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra dylani","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra elisabethae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra espanoli","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra estrela","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra festai","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra flavomaculata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra franzi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra fraterna","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra furcatella","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra fusca fusca","15.26","2.413",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra fusca latior","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra gallaeca","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra gallica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra gardinii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra garumna","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra geniculata","15.97","0.81",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra graeca","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra handlirschi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra helenae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra helvetica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hexacantha","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hexacanthoides","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hiberiaca","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hippopoides","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hippopus","13.8","2.248",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hirsuta","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra hispanica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra iliberis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra illiesi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra inermis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra insubrica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra istenicae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra jahorinensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra joani","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra joosti","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra karcali","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra kempnyi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra ketamensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra khroumiriensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra kumanskii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra kurui","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra kykladica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra lamellosa","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra leptogaster","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra ligurica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra lusitanica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra madritensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra major","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra malcor","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra malickyi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra marani","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra marilouae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra marinettae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra maroccana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra martynovi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra medjerdensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra meridionalis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra metsovonica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra microstyla microstyla","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra microstyla nalon","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra microstyla saja","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra minoica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra minuta bursaensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra minuta kastamonui","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra minuta minuta","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra moreae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra mortoni feheri","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra mortoni mortoni","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra moselyi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra muranyii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra nigra","13.51","4.909",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra niveola","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra occitana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra olympia","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pasquinii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra prima","13.91","2.908",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pseudocingulata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pseudocylindrica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pseudohippopus","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pseudorosinae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pseudosignifera","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra pusilla","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra quadrimaculata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra queyrassiana orsiera","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra queyrassiana queyrassiana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra rauscheri","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra ravizzai","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra rhodoica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra rosinae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra sanainica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra sartorii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra schistocerca","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra schmidi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra sesvenna","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra signifera","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra silana","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra simplex","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra sipahilerae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra stupeningi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra subalpina","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra svanetica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra tarnogradskii","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra teriolensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra theischingeri","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra thomasi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra torrenticola","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra transsylvanica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra tunisica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra uncinata","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra vaillanti","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra vesulensis","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra vinconi aubertorum","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra vinconi vinconi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra wilmae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra zangezurica","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra zhiltzovae","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Leuctra zwicki","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Pachyleuctra benllochi","","",""
"Plecoptera","LEUCTRIDAE","[Fam:LEUCTRIDAE]","Pachyleuctra bertrandi","","",""
