References
,"Schmidt-Kloiber, A. & Hering, D.",2015,"www.freshwaterecology.info - an online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators 53: 271-282. doi: 10.1016/j.ecolind.2015.02.007"
,"Schmidt-Kloiber, A. & Hering, D. (eds.)",2024,"www.freshwaterecology.info - the taxa and autecology database for freshwater organisms, version 8.0 (accessed on 09.06.2024)."

"Ecological parameter:","tolerance score","","",
"Taxagroup: ","Bivalvia","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Ephemeroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Heteroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Odonata","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Plecoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Trichoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."


Taxagroup,Family,Subfamily,Taxon,tolerance score,,,,,,
"Taxagroup","Family","Subfamily","Taxon","tol","mtol","msen","sen","hsen","Ref"
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium radiatum","","","","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium rivicola","0","0","1","0","0",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium solidum","0","0","0","0","1",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium subsolidum","","","","","",""
"Bivalvia","TELLINIDAE","[Fam:TELLINIDAE]","Macoma balthica","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta anatina","1","0","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea cygnea","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea ssp.","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Microcondylaea compressa","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Potomida littoralis","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata complanata","0","1","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata elongata","0","1","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata klettii","0","1","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata kuesteri","0","1","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Sinanodonta woodiana","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus albensis","0","0","1","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus crassus","1","0","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus cytherea","1","0","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus decurvatus","1","0","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus riparius","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio elongatulus","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio mancus","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum latirostris","0","0","1","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum pictorum","1","0","0","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum platyrhynchus","","","","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus depressus","0","0","1","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus tumidus","0","0","1","0","0",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus zelebori","0","0","1","0","0",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta anatina attenuata","","","","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta anatina rostrata","","","","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta cygnea deplanata","","","","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta cygnea solearis","","","","","",""
"Bivalvia","VENERIDAE","[Fam:VENERIDAE]","Chamelea gallina","","","","","",""
"Ephemeroptera","AMELETIDAE","[Fam:AMELETIDAE]","Metreletus balcanicus","1","0","0","0","0",""
"Ephemeroptera","AMELETIDAE","AMELETINAE","Ameletus inopinatus","1","0","0","0","0",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Ametropus fragilis","0","0","0","1","0",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metreplecton macronyx","","","","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metretopus alter","","","","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metretopus borealis","","","","","",""
"Ephemeroptera","ARTHROPLEIDAE","ARTHROPLEINAE","Arthroplea congener","","","","","",""
"Ephemeroptera","BAETIDAE","[Fam:BAETIDAE]","Baetis calcaratus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella almohades","0","0","0","1","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella hyaloptera","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella inexpectata","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella lapponica","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella sinaica","0","1","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis albinatii","0","0","0","1","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis alpinus","0","1","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis atrebatinus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis balcanicus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis beskidensis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis bicaudatus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis braaschi","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis buceratus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis bundyae","0","0","0","0","1",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis calcaratus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis canariensis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis catharus","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis cyrneus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis digitatus","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis estrelensis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis feles","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis fuscatus","0","1","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis gadeai","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis gracilis","0","0","0","1","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis ingridae","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis kozufensis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis liebenauae","1","0","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis longinervis","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis lutheri","0","1","0","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis macani","","","","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis maurus","0","0","1","0","0",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis melanonyx","0","1","0","0","0",""
